surface_m2,nb_pieces,nb_chambres,arrondissement,etage,nb_etages_immeuble,annee_construction,balcon,terrasse,parking,cave,ascenseur,renovation_recente,distance_metro_m,prix
79,5,4,8,5,7,1895,0,0,0,1,1,1,452,1321749
57,2,1,7,1,4,1997,0,0,1,0,1,0,232,814874
54,2,1,9,2,4,1948,0,0,0,1,1,0,330,649824
54,4,3,17,1,3,1929,1,0,0,1,0,0,698,590151
136,3,2,10,6,8,1897,0,0,0,0,0,0,460,1056188
91,3,2,3,5,8,1856,1,0,0,1,1,0,437,911647
48,1,0,8,0,3,1889,0,0,0,1,0,1,327,742581
81,2,1,14,6,8,1908,1,1,1,1,0,0,329,957643
69,2,1,7,0,3,1885,0,0,0,1,1,1,236,1240018
25,6,5,16,2,4,2021,0,0,1,0,1,1,403,502732
36,2,1,18,6,9,1957,0,0,0,1,0,0,235,344046
72,5,4,11,6,7,1880,0,0,1,1,1,1,337,895655
129,3,2,6,5,7,2019,1,0,1,0,1,0,306,2181041
54,2,1,20,3,5,1893,1,0,0,1,1,0,760,464742
46,3,2,14,2,3,2020,0,1,0,1,0,0,864,613953
65,4,3,13,6,9,1892,0,0,1,0,0,1,402,548343
45,5,4,4,4,6,1983,0,0,0,0,1,0,708,436793
52,2,1,20,2,3,1942,1,0,0,1,1,0,163,520214
61,2,1,20,3,6,1935,0,0,0,0,1,0,523,507372
36,2,1,11,6,7,1858,1,0,1,0,1,0,796,340831
94,1,0,18,6,7,1860,0,0,1,0,1,0,171,947507
33,3,2,1,4,6,1929,0,0,1,1,1,0,454,386994
31,4,3,12,5,8,1958,0,1,1,0,0,0,133,317075
68,2,1,18,0,3,1967,0,0,0,1,1,0,235,602348
90,4,3,7,4,7,1867,0,0,1,0,1,1,156,1805997
67,3,2,12,4,7,2002,0,1,0,1,1,1,293,998470
58,2,1,1,0,3,1946,0,0,0,0,0,0,1032,485974
52,1,0,4,6,7,1879,1,0,0,0,0,1,557,618011
48,4,3,18,7,9,1964,0,0,0,0,1,0,308,500011
105,4,3,15,1,4,1850,0,0,1,1,1,0,110,1339801
73,3,2,3,6,7,1946,1,0,0,0,1,0,371,854603
50,1,0,7,4,7,1962,1,0,0,0,0,1,593,825403
43,2,1,6,4,5,1928,0,1,0,0,1,0,285,692348
84,1,0,15,6,7,1878,1,0,0,0,1,0,449,854859
104,3,2,15,2,4,1915,1,0,0,0,1,1,146,1483426
99,4,3,6,5,8,1954,1,0,1,1,1,1,295,1554622
40,1,0,8,2,3,1868,0,0,0,0,0,0,252,535964
52,4,3,8,5,8,1915,1,0,1,1,1,1,618,895367
48,3,2,1,3,6,1961,0,0,0,0,1,0,278,482950
55,3,2,13,1,4,2008,0,0,0,1,1,0,173,561247
93,6,5,13,2,3,1909,0,0,0,0,0,0,116,839221
122,1,0,11,1,4,1966,0,0,0,1,1,0,485,1226926
74,5,4,4,1,3,1917,1,0,0,1,0,0,392,906017
44,1,0,7,1,3,1942,0,0,0,0,0,0,285,600258
60,2,1,12,5,6,2007,0,0,0,0,1,0,552,645245
135,4,3,13,6,8,1990,0,0,0,1,1,0,218,1322239
64,5,4,12,7,9,1992,0,0,0,0,1,0,397,673571
52,3,2,16,6,7,1997,0,0,0,0,1,0,453,755372
54,3,2,6,6,9,2011,0,0,1,0,1,1,273,921118
74,4,3,14,0,3,1997,0,0,0,1,0,0,1078,674896
40,4,3,19,5,6,1899,0,0,0,1,1,1,182,410352
47,1,0,16,5,7,1938,0,0,1,0,0,0,709,636122
98,4,3,4,1,3,2004,1,0,1,0,0,0,478,1363456
73,3,2,5,4,7,2007,0,0,0,1,1,0,266,945945
64,3,2,9,3,4,1948,0,0,0,1,1,1,100,922602
101,2,1,3,6,7,1962,0,0,0,0,0,0,677,913187
42,3,2,10,4,7,1956,0,0,0,0,0,1,313,470830
51,5,4,17,7,8,1873,0,0,0,0,0,0,699,394375
71,3,2,19,1,4,1874,1,0,0,0,0,1,229,709584
70,5,4,10,0,3,1860,1,0,0,1,0,1,71,823775
30,2,1,12,7,9,1943,1,0,0,1,1,1,475,376085
49,4,3,7,0,3,1909,0,0,0,0,0,0,81,786865
56,4,3,18,2,5,2002,0,0,0,1,1,0,520,501028
76,3,2,19,4,5,1874,0,0,0,1,1,0,268,674855
70,3,2,15,6,8,1994,1,0,0,0,1,0,474,771463
59,3,2,7,2,4,1989,1,0,0,1,1,0,535,847112
25,4,3,12,0,3,1972,0,1,0,0,0,0,1174,265716
60,4,3,7,3,6,1860,0,0,1,0,1,1,672,1162255
63,1,0,10,3,5,1859,0,0,1,0,1,0,191,693053
202,4,3,20,2,3,1930,0,0,0,0,1,0,119,2006724
55,2,1,10,6,7,1903,1,0,0,1,0,0,225,507069
72,2,1,5,5,8,1958,0,0,0,1,1,1,204,953066
110,4,3,18,6,7,1912,0,1,0,0,0,0,416,1082077
90,2,1,9,1,4,1869,1,0,1,0,1,1,186,1146733
125,4,3,16,4,6,1854,0,0,0,0,1,1,170,2255704
30,2,1,7,7,10,1890,0,0,1,1,0,0,216,387824
37,1,0,10,4,7,1967,0,0,0,1,1,0,288,422674
45,3,2,5,1,3,1912,0,0,0,1,0,0,340,469704
28,1,0,7,7,8,1881,0,0,0,1,1,1,757,469853
63,4,3,5,3,5,1876,0,0,0,0,0,0,202,691744
38,2,1,15,6,7,1917,1,1,1,0,0,0,271,604278
134,2,1,19,1,3,1954,1,1,1,0,0,0,472,1516091
41,1,0,10,4,5,1856,0,0,0,1,1,0,410,390038
52,2,1,8,6,7,2023,1,0,0,1,1,0,447,998553
93,4,3,9,3,4,1952,0,0,0,0,1,0,188,1169762
33,2,1,11,2,4,1961,1,1,0,0,1,0,152,396021
28,3,2,2,1,3,1995,0,0,0,1,1,0,162,298931
67,5,4,3,2,4,2015,0,0,0,0,1,1,204,811004
70,3,2,13,2,4,1952,0,0,1,0,1,0,698,726761
92,4,3,11,5,7,1866,0,1,1,0,1,1,250,1246373
80,1,0,10,1,3,1939,1,0,0,0,1,0,88,919652
72,2,1,15,1,4,1964,0,1,0,1,1,0,237,918177
43,5,4,6,2,4,1935,0,0,1,0,1,0,368,672634
69,4,3,1,3,6,1952,0,0,1,1,1,1,165,1003994
71,3,2,14,4,6,1931,0,0,0,0,0,0,317,666962
42,3,2,18,5,8,1975,1,0,1,0,1,1,641,472717
155,2,1,11,6,7,1887,1,0,1,1,1,1,466,2207486
78,1,0,8,2,3,1941,0,0,0,0,0,0,185,1228610
37,4,3,3,3,4,1912,0,0,1,0,1,0,418,409866
92,3,2,14,2,5,2019,0,0,0,0,0,0,386,993975
101,3,2,2,0,3,1985,0,0,1,0,0,1,312,1160621
76,5,4,16,4,5,1879,0,0,0,1,1,0,489,1079679
54,2,1,6,5,8,1913,0,0,0,0,1,0,735,659175
41,2,1,1,0,3,1858,1,0,0,0,0,1,305,552655
59,4,3,14,0,3,1906,0,0,0,1,0,0,108,634413
73,4,3,10,5,7,1956,0,0,1,1,1,0,324,751318
62,3,2,6,4,6,1944,0,0,0,0,1,0,174,861351
128,1,0,9,3,4,1924,1,0,0,0,1,1,645,1507227
